observation_date,WTISPLC
01/01/1946,1.17
01/02/1946,1.17
01/03/1946,1.17
01/04/1946,1.27
01/05/1946,1.27
01/06/1946,1.27
01/07/1946,1.27
01/08/1946,1.52
01/09/1946,1.52
01/10/1946,1.52
01/11/1946,1.52
01/12/1946,1.62
01/01/1947,1.62
01/02/1947,1.62
01/03/1947,1.62
01/04/1947,1.87
01/05/1947,1.87
01/06/1947,1.87
01/07/1947,1.87
01/08/1947,1.87
01/09/1947,1.87
01/10/1947,1.87
01/11/1947,2.07
01/12/1947,2.07
01/01/1948,2.57
01/02/1948,2.57
01/03/1948,2.57
01/04/1948,2.57
01/05/1948,2.57
01/06/1948,2.57
01/07/1948,2.57
01/08/1948,2.57
01/09/1948,2.57
01/10/1948,2.57
01/11/1948,2.57
01/12/1948,2.57
01/01/1949,2.57
01/02/1949,2.57
01/03/1949,2.57
01/04/1949,2.57
01/05/1949,2.57
01/06/1949,2.57
01/07/1949,2.57
01/08/1949,2.57
01/09/1949,2.57
01/10/1949,2.57
01/11/1949,2.57
01/12/1949,2.57
01/01/1950,2.57
01/02/1950,2.57
01/03/1950,2.57
01/04/1950,2.57
01/05/1950,2.57
01/06/1950,2.57
01/07/1950,2.57
01/08/1950,2.57
01/09/1950,2.57
01/10/1950,2.57
01/11/1950,2.57
01/12/1950,2.57
01/01/1951,2.57
01/02/1951,2.57
01/03/1951,2.57
01/04/1951,2.57
01/05/1951,2.57
01/06/1951,2.57
01/07/1951,2.57
01/08/1951,2.57
01/09/1951,2.57
01/10/1951,2.57
01/11/1951,2.57
01/12/1951,2.57
01/01/1952,2.57
01/02/1952,2.57
01/03/1952,2.57
01/04/1952,2.57
01/05/1952,2.57
01/06/1952,2.57
01/07/1952,2.57
01/08/1952,2.57
01/09/1952,2.57
01/10/1952,2.57
01/11/1952,2.57
01/12/1952,2.57
01/01/1953,2.57
01/02/1953,2.57
01/03/1953,2.57
01/04/1953,2.57
01/05/1953,2.57
01/06/1953,2.82
01/07/1953,2.82
01/08/1953,2.82
01/09/1953,2.82
01/10/1953,2.82
01/11/1953,2.82
01/12/1953,2.82
01/01/1954,2.82
01/02/1954,2.82
01/03/1954,2.82
01/04/1954,2.82
01/05/1954,2.82
01/06/1954,2.82
01/07/1954,2.82
01/08/1954,2.82
01/09/1954,2.82
01/10/1954,2.82
01/11/1954,2.82
01/12/1954,2.82
01/01/1955,2.82
01/02/1955,2.82
01/03/1955,2.82
01/04/1955,2.82
01/05/1955,2.82
01/06/1955,2.82
01/07/1955,2.82
